type_name,type,path,i,real_time,user_time,sys_time,depth
Approach 1: nested,1,nested/nested1.cpp.out,1,0m0.002,0m0.002,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,2,0m0.003,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,3,0m0.004,0m0.005,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,4,0m0.002,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,5,0m0.003,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,6,0m0.003,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,7,0m0.003,0m0.001,0m0.002,1
Approach 1: nested,1,nested/nested1.cpp.out,8,0m0.003,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested1.cpp.out,9,0m0.004,0m0.003,0m0.001,1
Approach 1: nested,1,nested/nested1.cpp.out,10,0m0.003,0m0.003,0m0.000,1
Approach 1: nested,1,nested/nested2.cpp.out,1,0m0.003,0m0.003,0m0.000,2
Approach 1: nested,1,nested/nested2.cpp.out,2,0m0.002,0m0.000,0m0.002,2
Approach 1: nested,1,nested/nested2.cpp.out,3,0m0.002,0m0.000,0m0.002,2
Approach 1: nested,1,nested/nested2.cpp.out,4,0m0.003,0m0.000,0m0.002,2
Approach 1: nested,1,nested/nested2.cpp.out,5,0m0.004,0m0.005,0m0.000,2
Approach 1: nested,1,nested/nested2.cpp.out,6,0m0.003,0m0.003,0m0.000,2
Approach 1: nested,1,nested/nested2.cpp.out,7,0m0.002,0m0.002,0m0.000,2
Approach 1: nested,1,nested/nested2.cpp.out,8,0m0.002,0m0.003,0m0.000,2
Approach 1: nested,1,nested/nested2.cpp.out,9,0m0.003,0m0.001,0m0.003,2
Approach 1: nested,1,nested/nested2.cpp.out,10,0m0.005,0m0.005,0m0.000,2
Approach 1: nested,1,nested/nested3.cpp.out,1,0m0.005,0m0.006,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,2,0m0.003,0m0.000,0m0.002,3
Approach 1: nested,1,nested/nested3.cpp.out,3,0m0.002,0m0.002,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,4,0m0.002,0m0.002,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,5,0m0.004,0m0.004,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,6,0m0.002,0m0.003,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,7,0m0.003,0m0.003,0m0.000,3
Approach 1: nested,1,nested/nested3.cpp.out,8,0m0.004,0m0.003,0m0.001,3
Approach 1: nested,1,nested/nested3.cpp.out,9,0m0.003,0m0.001,0m0.003,3
Approach 1: nested,1,nested/nested3.cpp.out,10,0m0.003,0m0.003,0m0.000,3
Approach 1: nested,1,nested/nested4.cpp.out,1,0m0.004,0m0.004,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,2,0m0.002,0m0.003,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,3,0m0.002,0m0.002,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,4,0m0.003,0m0.003,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,5,0m0.004,0m0.004,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,6,0m0.003,0m0.003,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,7,0m0.002,0m0.002,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,8,0m0.002,0m0.003,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,9,0m0.003,0m0.003,0m0.000,4
Approach 1: nested,1,nested/nested4.cpp.out,10,0m0.006,0m0.003,0m0.003,4
Approach 1: nested,1,nested/nested5.cpp.out,1,0m0.010,0m0.010,0m0.000,5
Approach 1: nested,1,nested/nested5.cpp.out,2,0m0.009,0m0.009,0m0.000,5
Approach 1: nested,1,nested/nested5.cpp.out,3,0m0.010,0m0.010,0m0.000,5
Approach 1: nested,1,nested/nested5.cpp.out,4,0m0.005,0m0.005,0m0.000,5
